Name,Brand,Description,Notes,Cleaned_Description
birch eau de parfum,Andrea Maack Parfums," To work on Birch, Andrea Maack relocated to her family cabin hidden away in the Icelandic highlands. Her childhood summers were spent in this wooden cabin, surrounded by the scent of birch trees. An atmospheric fragrance above all, Birch transports the wearer to the solace of the Arctic tundra, a million miles away. An airy bergamot creates a cool breeze with lightly spicy ginger and pink pepper, sensually drifting along. The character of the scent lies in the meeting of dark guaiacwood and cypriol, however, that capture the arctic woodland, with rising columns of bonfire smoke. Birch is gorgeously evocative, alternating between the fresh cold air and smoky, earthy woods. It's one of those scents that you wear for yourself, to breathe in deep and enter another world."," Bergamot, pink pepper, ginger, guaiac wood, cypriol, patchouli, musk",work birch andrea maack relocate family cabin hide away icelandic highland childhood summer spend wooden cabin surround scent birch tree atmospheric fragrance birch transport wearer solace arctic tundra million miles away airy bergamot create cool breeze lightly spicy ginger pink pepper sensually drifting along character scent lie meeting dark guaiacwood cypriol however capture arctic woodland rise column bonfire smoke birch gorgeously evocative alternate fresh cold air smoky earthy wood one scent wear breathe deep enter another world
beach hut man eau de parfum,Amouage," When is a beach scent more than just a beach scent? When it's part of Amouage's stunningly inventive suite of new releases. Beach Hut Man, the newest from the Midnight Flower collection, is no mere salty aquatic- instead, as told by Creative Director Christopher Chong, it's ""the story of an iridescent aromatic idyll that unfolds in the fragrant wild garden of a beach hut."" What does that mean in plain language? It means that Beach Hut Man is equal parts oceanic and intensely green, for an utterly unique and exciting new masculine that invigorates and relaxes in equal measure.With a bracing opening of mouthwatering mint, smooth orange blossom and bitter galbanum, Beach Hut explodes with complexity from the very first spritz. Salty, spicy vetiver evokes the ocean and the garden in equal measure, while wild green moss and ivy and earthy patchouli add to the naturalistic, yet relaxed, vibe. As it dries, a rich and masculine base of dry woods lingers for hours. Born in an oceanside paradise but sophisticated and sexy enough for a palace, Beach Hut Man is a creative and compelling new masculine that we think is destined end up alongside Amouage's very best."," Mint, orange blossom, galbanum, vetiver, moss, ivy, patchouli, myrrh, dry woods",beach scent beach scent part amouage stunningly inventive suite new release beach hut man new midnight flower collection no mere salty aquatic instead tell creative director christopher chong story iridescent aromatic idyll unfold fragrant wild garden beach hut mean plain language mean beach hut man equal part oceanic intensely green utterly unique exciting new masculine invigorate relax equal measure brace opening mouthwatere mint smooth orange blossom bitter galbanum beach hut explode complexity first spritz salty spicy vetiver evoke ocean garden equal measure wild green moss ivy earthy patchouli add naturalistic yet relaxed vibe dry rich masculine base dry wood linger hour bear oceanside paradise sophisticated sexy enough palace beach hut man creative compelling new masculine think destine end alongside amouage good
bruma eau de parfum,Cire Trudon," Bruma meanssolstice in Latin, which brings to mind something one might wear to a pagan ritual or to howl at the moon. But the word Bruma' is also close to the French word brume for mist, and we think that this word fits the scent better. It begins with a gentle misting of iris, violets, and peony, all swirled together into a creamy, fluffy cosmetics accord that's part lokhoum, part lipstick. A rooty iris stands at the center, quietly gathering itself up into a soft leather, aided by black pepper, which accentuates the naturally rubbery facets of peony. Thanks to a touch of lavender and galbanum, the suede or leather accord grows ashier, greener, and drier, the ghost of Tuscan Leather flickering at the edges. It is only after a while that one begins to notice the delicious creaminess of the base coming forward: damp jasmine petals pressed into spicy, milky tonka bean and the saltwater taffy of labdanum. All the while, Bruma retains a delightfully gauzy texture, which makes it an easy wear, even in hot weather. The lingering impression is of a fruity violet suede accord over dry ash, resin, and finally, the nutty, baked hay smell of tonka and vetiver. It is not the striding Valkyrie implied by the name; but for days when you want to smell just plain amazing rather than fierce, Bruma is the perfect choice."," black pepper, lavender, galbanum, violets, peony, iris, jasmine, labdanum, vetiver, tonka bean",bruma meanssolstice latin bring mind something one may wear pagan ritual howl moon word bruma also close french word brume mist think word fit scent well begin gentle mist iris violet peony swirl together creamy fluffy cosmetic accord part lokhoum part lipstick rooty iris stand center quietly gather soft leather aid black pepper accentuate naturally rubbery facet peony thanks touch lavender galbanum suede leather accord grow ashier greener drier ghost tuscan leather flickering edges one begin notice delicious creaminess base come forward damp jasmine petal press spicy milky tonka bean saltwater taffy labdanum bruma retain delightfully gauzy texture make easy wear even hot weather linger impression fruity violet suede accord dry ash resin finally nutty baked hay smell tonka vetiver not stride valkyrie imply name day want smell plain amazing rather fierce bruma perfect choice
ii (deux) eau de parfum,Cire Trudon," II, or Deux (French for two), is all about new beginnings: the second act, rebirth, regeneration. Essentially, Deux is an aromatic scent filled to brimming with the piercingly green smell of regrowth  fig saplings, plants, and young conifers pushing their way up through layers of humus and pine needles to meet the sun. With lots of aromatic juniper and bitter orange, it is brisk and unsentimental, an impression confirmed by its salty, woody musk in the drydown. Like all the perfumes in the Cire Trudon range, it is perfectly unisex. Although not listed, we smell a lot of kitchen garden notes in here too, particularly the resinous snap of tomato leaf, mint, basil, and the milky juice of fresh fig leaf. The vibrant, stemmy smell of crushed leaves is intoxicating, bringing back memories of small, childish hands stained green with plant juice. This is a scent that crawls with life. Wearing it, you can almost sitting in a forest clearing, face turned to the sun, surrounded by the fertile smell of tender green shoots and leaves pushing up to the surface, like a fast motion sequence on a nature documentary. Deux is the perfect fragrance with which to welcome in the rites of spring and drive away the cold stoniness of winter. Bristling with verdant energy, think of Deux as a shot of antioxidant-rich green juice to stimulate the blood and re-start the engine."," green leaves, orange bigarade, pine, pepper, juniper, cedar, incense, ambroxan, cashmeran",ii deux french two new beginning second act rebirth regeneration essentially deux aromatic scent fill brim piercingly green smell regrowth fig sapling plant young conifer push way layer humus pine needles meet sun lot aromatic juniper bitter orange brisk unsentimental impression confirm salty woody musk drydown like perfumes cire trudon range perfectly unisex although not list smell lot kitchen garden note particularly resinous snap tomato leaf mint basil milky juice fresh fig leaf vibrant stemmy smell crush leave intoxicate bring back memories small childish hand stain green plant juice scent crawl life wear almost sit forest clearing face turn sun surround fertile smell tender green shoot leave push surface like fast motion sequence nature documentary deux perfect fragrance welcome rite spring drive away cold stoniness winter bristle verdant energy think deux shoot antioxidantrich green juice stimulate blood restart engine
mortel eau de parfum,Cire Trudon," Mortel proves there's a reason why incense has been burned in churches for thousands of years: it just smells darned good. Yes, incense is used to purify the air and to rid places of worship of bad spirits. But the truth of the matter is that the scent of frankincense, labdanum, myrrh, and benzoin is almost universally pleasing. The question then becomes how to build an incense fragrance in a way that it stands out from countless others in the genre. Some use room-filling synthetics to lift the resins, some are dense and airless, and some are airy, bright  almost soapy. Mortel is a bone-dry, monastic take on the theme, differing from other entries in the field by being both wearable (in a casual, everyday sense) and supremely natural in feel. It skips entirely the lime-peel brightness of the topnotes of frankincense, plunging instead directly towards a heart of dark, waxy, smoked-out resin, with a vein of sizzling black pepper. The structure stacks churchy resins around a core of extremely dry labdanum, which here completely lacks the friendlier caramelic tones of its usual presentation. Myrrh, licorice-like and earthy, is particularly prominent, its dark oiliness underlined by a generous helping of nutmeg, pimento, and pepper. The toasty tones of Virginia cedar form a bridge between the dusty cistus in the heart to the powdery benzoin in the far dry-down. But, although Mortel is undeniably dry and austere, its dryness is organic, like the natural dustiness of soot or charcoal. Calming and meditative, it is an incense that will elevate the spirit without grinding the wearer down. Believe us, that's a hard balance to strike, and in our opinion, Mortel nails it."," Black pepper, pimento, nutmeg, frankincense, Virginia cedar, cistus, myrrh and benzoin",mortel prof reason incense burn church thousand year smell darn good yes incense use purify air rid place worship bad spirit truth matter scent frankincense labdanum myrrh benzoin almost universally pleasing question become build incense fragrance way stand countless genre use roomfille synthetic lift resin dense airless airy bright almost soapy mortel bonedry monastic take theme differ entry field wearable casual everyday sense supremely natural feel skips entirely limepeel brightness topnote frankincense plunge instead directly towards heart dark waxy smokedout resin vein sizzling black pepper structure stacks churchy resin around core extremely dry labdanum completely lacks friendly caramelic tone usual presentation myrrh licoricelike earthy particularly prominent dark oiliness underline generous help nutmeg pimento pepper toasty tone virginia cedar form bridge dusty cistus heart powdery benzoin far drydown although mortel undeniably dry austere dryness organic like natural dustiness soot charcoal calm meditative incense elevate spirit without grind wearer believe us hard balance strike opinion mortel nail
olim eau de parfum,Cire Trudon," Olim, Latin for once', is supposed to evoke the excess and vanity of the French court under King Louis. And indeed, this is one pompadour of a fragrance, full of glittering powder, resin, golden bergamot, exotic spice, and intimate musks. Breathing this in, one might imagine the powdered wigs and sugary petit fours of Marie Antoinette, as well as the aromatic lavender waters splashed on by courtiers after their evening toilette. It is glittering, bold, and full-figured  an oriental with its corset stays loosened.We begin at the afternoon tea table of the young Queen and her adoring coquettes. A golden bergamot is doused heavily in powdered sugar, turning it from tart to fizzy and sweet: a lemon sherbet in fragrance form. Aromatic herbs in the heart sparkle  dewy lavender and anise, turning the air violet as the gentlemen drench their wigs and clothes to freshen them. But there is something sensual and skin-like underneath the bright elements, a combination of creamy musk, clove, and patchouli giving the lavender and bergamot a naughty Jicky edge. The deliberate clashing of citrus and cream, aromatics and resin, well  that's the classic recipe for when you want to do an oriental right. And Olim gets it right. If you love the warm sexiness of big-boned orientals such as Shalimar, Musc Ravageur, and Opus 1144, then Olim ought to give you a thrill."," bergamot, lavender, anise, pink pepper, clove, patchouli, benzoin, myrrh, musk",olim latin suppose evoke excess vanity french court king louis indeed one pompadour fragrance full glitter powder resin golden bergamot exotic spice intimate musks breathing one may imagine powder wigs sugary petit four marie antoinette well aromatic lavender water splashed courtier evening toilette glitter bold fullfigure oriental corset stay loosen begin afternoon tea table young queen adore coquette golden bergamot douse heavily powder sugar turn tart fizzy sweet lemon sherbet fragrance form aromatic herbs heart sparkle dewy lavender anise turn air violet gentleman drench wigs clothe freshen something sensual skinlike underneath bright element combination creamy musk clove patchouli give lavender bergamot naughty jicky edge deliberate clash citrus cream aromatics resin well classic recipe want oriental right olim get right love warm sexiness bigbone oriental shalimar musc ravageur opus 1144 olim ought give thrill
revolution eau de parfum,Cire Trudon," Inspired by the chaos in the streets of Paris during the French Revolution, Revolution is a fragrance full of the smells of danger  the peppery smoke of gunpowder mingling with raging fire, leather riding boots, and spilled musket oil. Such accords have the potential to come off as harsh or extreme, but in the experienced hands of British perfumer Lyn Harris, they convey the excitement of battle with a buttery smoothness that makes the scent a breeze to wear. So we have rugged, ashy leather and the sooty smoke from burned-out houses, but with a creamy elemi underpinning that immediately softens the punch. Cade oil muscles its way past the buttery leather, filling the nostrils with its intensely green-black, smoky smell. Adding to the powerful impression of chaos created by the opening, a peppery papyrus combines with dusty cedar to create a searing flash of gunpowder from a newly-spent musket. Together, these notes conjure up the image of a young soldier, taking temporary shelter in a burned-out house on the Champs-ÃlysÃ©es, the searing smell of soot, ash, singed leather boots, and gunpowder softened by the creamy smell of ancient cedar bookcases, sheaves of paper, and the whiff of incense from a nearby church. And it's this juxtaposition between burned and creamy elements that gives the scent its power to soothe and excite at the same time.  Revolution is the smell of the vestiges of civilization meeting the approaching fires of the crusaders."," elemi, angelica, cedar, papyrus, patchouli, cade, incense, cistus, opoponax",inspire chaos street paris french revolution revolution fragrance full smell danger peppery smoke gunpowder mingle rage fire leather ride boot spill musket oil accord potential come harsh extreme experienced hand british perfumer lyn harris convey excitement battle buttery smoothness make scent breeze wear rugged ashy leather sooty smoke burnedout house creamy elemi underpinning immediately softens punch cade oil muscle way past buttery leather fill nostril intensely greenblack smoky smell add powerful impression chaos create opening peppery papyrus combine dusty cedar create searing flash gunpowder newlyspent musket together note conjure image young soldier take temporary shelter burnedout house champsalysaes searing smell soot ash singe leather boot gunpowder soften creamy smell ancient cedar bookcase sheaf paper whiff incense nearby church juxtaposition burn creamy element give scent power soothe excite time revolution smell vestige civilization meeting approach fire crusaders
oud satin mood extrait extrait de parfum,Maison Francis Kurkdjian," Of the many fragrances to attempt to reinterpret oud for the western palette, very few have been as much a runaway success as Francis Kurkdjians Oud Satin Mood, a gorgeously textured, impossibly smooth tapestry of delicate spice, elegant florals, and mouthwatering vanilla layered with an exquisite specimen of pure Laotian oud. Now, for the first time ever, this sumptuous delight is available in a sinfully concentrated extrait de parfum, where the rose (now a decadent combination of Turkish and Bulgarian roses) is lusher, the vanilla creamier, and the oud richer and smoother than ever before. A holy grail for oud and gourmand lovers alike, Oud Satin Mood Extrait might be the most deliciously sensual scent to ever emerge from Francis Kurkdjian's magical workshop."," Agarwood, Bulgarian rose, benzoin, Turkish rose, violet and vanilla.",many fragrance attempt reinterpret oud western palette much runaway success francis kurkdjians oud satin mood gorgeously texture impossibly smooth tapestry delicate spice elegant floral mouthwatere vanilla layered exquisite speciman pure laotian oud first time ever sumptuous delight available sinfully concentrated extrait de parfum rise decadent combination turkish bulgarian rose lusher vanilla creamy oud rich smoother ever holy grail oud gourmand lover alike oud satin mood extrait may deliciously sensual scent ever emerge francis kurkdjians magical workshop
woman in gold eau de parfum,By Kilian," The Austrian Mona Lisa glows not with an ambiguous smile, but in gorgeous golden patterns, motifs, and flushed rosy cheeks. Gustav Klimt's 1907 portrait of Adele Bloch-Bauer is one of the most famous of his erotic gold-leaf paintings. By Kilian's Woman In Gold conjures a similar sensuality and play between light and shadow through a delicate rose as seen through unctuous vanilla and exquisite woods. Woman in Gold glows from the onset, with a tart bergamot and ripe mandarin, blended into soft-focus by a warm vanillic tonka bean. A sweet silken rose slowly blooms, petals lifting, whipped to a velvety froth, but with a darkness within, hinted at by gentle layers of oud and patchouli, seamlessly adjoined. The result is a perfume as complex and dazzling as the woman who wears it."," bergamot, mandarin, geranium, rose, patchouli, oud, tonka bean",austrian mona lisa glow not ambiguous smile gorgeous golden pattern motifs flush rosy cheeks gustav klimts 1907 portrait adele blochbauer one famous erotic goldleaf painting kilians woman gold conjure similar sensuality play light shadow delicate rise see unctuous vanilla exquisite wood woman gold glow onset tart bergamot ripe mandarin blend softfocus warm vanillic tonka bean sweet silken rise slowly blooms petal lift whip velvety froth darkness within hint gentle layer oud patchouli seamlessly adjoin result perfume complex dazzle woman wear
gold knight eau de parfum,By Kilian," Inspired by the dashing, golden-armored chevalier in Gustav Klimt's 1902 Beethoven Frieze, By Kilian's Gold Knight flows with a similar golden opulence. The dark sensuousness of patchouli is draped in deep, golden honey, as Kilian Hennessy is wont to do. But despite the gourmand connotations, a fresh anisic bite adds an invigorating masculine edge for the Gold Knight - most distinctively paired with a bright, dry bergamot in the opening. As the scent grows darker, the honeyed patchouli shimmers with cinnamon, vanilla, and anise into a warm, sexy powerhouse.A magnificent collector's edition coffret, beautifully embellished in homage to artist Gustav Klimt's unique signature style and masterful use of gold leaf. Once opened, the mirrored zamac lid inside reflects the luminosity, mysterious glamour, and jewel-like quality of each bottle."," Bergamot, anise, patchouli, vanilla, cinnamon and honey",inspire dash goldenarmore chevalier gustav klimts 1902 beethoven frieze kilians gold knight flows similar golden opulence dark sensuousness patchouli drape deep golden honey kilian hennessy despite gourmand connotation fresh anisic bite add invigorate masculine edge gold knight distinctively pair bright dry bergamot opening scent grow darker honey patchouli shimmer cinnamon vanilla anise warm sexy powerhouse magnificent collector edition coffret beautifully embellish homage artist gustav klimts unique signature style masterful use gold leaf open mirror zamac lid inside reflect luminosity mysterious glamour jewellike quality bottle
eau my soul eau de parfum,4160 Tuesdays," While the internet can be a nasty, spiteful, ungenerous place (to say the very least), we're delighted to report that fragrance lovers, by and large, are the exact opposite- which explains the success of many supportive, loving private communities of perfume aficionados online, including Christi Long's Eau My Soul. To celebrate this island of positivity, 4160's Sarah McCartney offered EMS's members a rare chance- vote on their top 25 favorite notes, and she would blend them together into a magnum opus of fragrance. Lo and behold, the votes were cast, and Sarah delivered with Eau My Soul, the newest and most democratic of releases from 4160 Tuesdays.Working primarily from sandalwood and amber, the top two vote-getters, Eau My Soul is an exuberant delight, or as Sarah herself describes it, a ""warm, friendly, inclusive group hug"" of a scent. A fresh bust of early citrus quickly warms into smooth, creamy woods and amber, giving off the delectable vibe of sparkling root beer. As lush florals blend seamlessly with musk, tobacco and honeyed leather, we can't help but think of sinking into a well-worn easy chair in our favorite pajamas, warmed by an unpretentiously casual mixed drink and a bite of our favorite dessert. We know Eau My Soul is named for the community that launched it. But even if it weren't, the name fits too well to think it could be called anything else."," Bergamot, lavender, honey, frankincense, cognac, sandalwood, rose, jasmine, orris, myrrh, tobacco, amber, oakmoss, vanilla, benzoin, musk, patchouli, vetiver",internet nasty spiteful ungenerous place say least delighted report fragrance lover large exact opposite explain success many supportive love private community perfume aficionados online include christi longs eau soul celebrate island positivity 4160s sarah mccartney offer emss member rare chance vote top 25 favorite note would blend together magnum opus fragrance lo behold vote cast sarah deliver eau soul new democratic release 4160 tuesday work primarily sandalwood amber top two votegetter eau soul exuberant delight sarah describe warm friendly inclusive group hug scent fresh bust early citrus quickly warm smooth creamy wood amber give delectable vibe sparkle root beer lush floral blend seamlessly musk tobacco honey leather not help think sink wellworn easy chair favorite pajamas warm unpretentiously casual mixed drink bite favorite dessert know eau soul name community launch even not name fit well think could call anything else
berlin eau de parfum,Gallivant," It's Berlin - think carefree summers, swimming at the Strandbad Wannsee with fresh water hitting the skin. Gritty urban living in brutalist apartment blocks, concrete, elegant parquet floors. Modern bohemians in leather, smoke, spices, cups of black tea, inside and underground. A city where you can be decadent, poor-but-sexy. Berlin is a play of light and dark, opening with zingy top notes of grapefruit, clementine, and lemon, all the rinds glistening with oils. There's a zip from schinus molle  a piquant flushed fruit akin to pink pepper. An airy black tea leads the transition from the spicy-fresh to the darker underbelly of cedarwood and Haitian vetiver. Perfectly disheveled with a level of edge, Gallivant's Berlin transports you to the defiant, provocative heart of the city."," Grapefruit, clementine, lemon, schinus molle co2 extract, black pepper, black tea, Haitian vetiver, cedarwood, patchouli",berlin think carefree summer swimming strandbad wannsee fresh water hit skin gritty urban live brutalist apartment blocks concrete elegant parquet floor modern bohemian leather smoke spice cup black tea inside underground city decadent poorbutsexy berlin play light dark opening zingy top note grapefruit clementine lemon rind glistening oil zip schinus molle piquant flush fruit akin pink pepper airy black tea lead transition spicyfresh darker underbelly cedarwood haitian vetiver perfectly dishevel level edge gallivant berlin transport defiant provocative heart city
pink wood eau de parfum,April Aromatics," Imagine the majestic web of roots beneath the ground's surface - the entwining rhizomatic structure, flowing energy deep from the earth. Tanya Bochnig, the natural perfumer of April Aromatics, has created an ode to these roots with Pink Wood, a regal blend that taps the root extracts and botanicals from plants growing close to the earth.Pink Wood unfurls dramatically with rose, the queen of flowers as Sappho called her, making her grand entrance in grand doses, in the form of rose absolute and rose otto. The rose feels warm and generous, honeyed around the edges with tart, sweet pink fruits and buttressed by a spiced bourbon-like oakwood. A dignified oud partners with the rose, but it's never overwhelming - in fact, a beautifully aged patchouli and radiant sandalwood smooth out all the edges, as cistus and labdanum expand with earthy darkness. Above all else, this is a grounding scent, teaching us that the heart and roots are not so separate after all."," Rose otto, rose absolute, geranium, pink fruits, rosewood, sandalwood, agarwood, patchouli, cistus, labdanum, oak",imagine majestic web root beneath ground surface entwine rhizomatic structure flow energy deep earth tanya bochnig natural perfumer april aromatics create ode root pink wood regal blend tap root extracts botanical plant grow close earth pink wood unfurls dramatically rise queen flower sappho call make grand entrance grand doses form rise absolute rise otto rise feel warm generous honey around edges tart sweet pink fruit buttress spice bourbonlike oakwood dignified oud partner rise never overwhelming fact beautifully aged patchouli radiant sandalwood smooth edges cistus labdanum expand earthy darkness else ground scent teaching us heart root not separate
el cosmico eau de parfum,D.S. and Durga," El Cosmico is both a difficult, and an easy, place to explain. On the one hand, it's almost impossible to succinctly describe this campground-turned-venue-turned-hotel-turned-landmark, or the remote, artists'-haven town of Marfa where it resides. On the other hand, when you're sitting around a roaring fire under the West Texas stars, it's simple to pick a single word: magical. This is at the core of David Moltz's El Cosmico, an ode to a truly remarkable place where the rustically timeless and the bleeding edge of hip coexist in beautiful harmony. Originally conceived for a 2015 performance where a proprietary olfactory instrument circulated scents throughout an outdoor crowd while his band performed, Moltz has since synthesized that experience into a single fragrance that perfectly captures the aura of the high plains desert: citric sumac plays against darkly smoky creosote and a zing of mesquite, while robustly fresh pinyon pine and oak lend a woodsy backbone. Above it all floats an enchanting, gently sparkling, and almost ozonic note- perhaps the sand accord?- that perfectly evokes the astounding glow of the stars out far beyond any city lights. Suspended between the luminous cosmos and the rugged frontier, El Cosmico is a delightful, surprising, enchanting new scent from D.S. & Durga."," Sumac, creosote, pinyon pine, oak, mesquite, sand, woods",el cosmico difficult easy place explain one hand almost impossible succinctly describe campgroundturnedvenueturnedhotelturnedlandmark remote artistshaven town marfa reside hand sit around roar fire west texas star simple pick single word magical core david moltzs el cosmico ode truly remarkable place rustically timeless bleed edge hip coexist beautiful harmony originally conceive 2015 performance proprietary olfactory instrument circulate scent throughout outdoor crowd band perform moltz since synthesize experience single fragrance perfectly capture aura high plains desert citric sumac play darkly smoky creosote zing mesquite robustly fresh pinyon pine oak lend woodsy backbone float enchanting gently sparkle almost ozonic note perhaps sand accord perfectly evoke astounding glow star far beyond city light suspend luminous cosmos rugged frontier el cosmico delightful surprising enchanting new scent ds durga
"o, unknown! eau de parfum",Imaginary Authors," ""There is no greater joy in the world than the joy of not knowing what is to be found around the bend."" - Philip SavaAt age 65, when famed explorer and author Philip Sava was given less than a year to live, he set off from his home in Madagascar for parts unknown. Leaving all his belongings behind, he set off on foot, hopped a freighter across the Indian Ocean, and wandered into the Bangladesh wilderness. His journey, which lasted over a decade, took him through Nepal and Tibet where his exploration turned spiritual and into rural China where months of solitude resulted in some of the most confessional observations ever committed to paper. This is the story of a man grappling with the meaning of life as he grasps to life's last vestiges.At the risk of sounding bleak, this night could be your last. Splash on O, Unknown! and plunge forth - the black tea leaves are swirling with ambiguous meanings, imbued with a light smokiness from Lapsang Souchong. A deeply sensual combination of musk and orris add a haunting, woozy presence that unfolds on skin. Like a transformative tea reading for your spirit."," Black tea, Lapsang Souchong tincture, orris butter, Kyoto moss, musk balsam, sandalwood",no great joy world joy not know find around bend philip sava age 65 fame explorer author philip sava give less year live set home madagascar part unknown leave belonging behind set foot hopped freighter across indian ocean wander bangladesh wilderness journey last decade take nepal tibet exploration turn spiritual rural china month solitude result confessional observation ever committed paper story man grapple meaning life grasps lifes last vestige risk sound bleak night could last splash unknown plunge forth black tea leave swirl ambiguous meaning imbue light smokiness lapsang souchong deeply sensual combination musk orris add haunting woozy presence unfold skin like transformative tea read spirit
ambra extrait de parfum,Jeroboam," Taking on an olfactory family this well known is no small feat. It's a testament of perfumer Vanina Murraciole's originality and creativity that Ambra manages to whisk amber away from the staid and into a sensual, modern, androgynous realm. From the onset, Ambra enters a billowing vanilla, full of sweet cream and lifted up with a peppery-fresh duo of bergamot and geranium. It's fluffy, almost airy -- but there's a darkness around the edges, discreetly smoldering with patchouli and incense. Once Peru balsam kicks in, it's a veritable amber, but shape-shifting, nonetheless. Wrapped in the seductive energy of Jeroboam's enigmatic musks, with hints of of smoke in the distance, this amber on the brink of gourmand might just tip us over."," Bergamot, geranium, incense, peru balsam, patchouli, vetiver, vanilla, tonka bean, enigmatic musks",take olfactory family well know no small feat testament perfumer vanina murracioles originality creativity ambra manage whisk amber away staid sensual modern androgynous realm onset ambra enter billow vanilla full sweet cream lift pepperyfresh duo bergamot geranium fluffy almost airy darkness around edges discreetly smoldering patchouli incense peru balsam kick veritable amber shapeshifte nonetheless wrap seductive energy jeroboam enigmatic musks hint smoke distance amber brink gourmand may tip us
cafe tuberosa cologne absolue,Atelier Cologne," Encountering CafÃ© Tuberosa is like entering a bustling coffeeshop, with that dark, bittersweet scent of freshly roasted coffee beans, grinding and pressed for a perfect cup of espresso.  The mouthwatering citrus that Atelier Cologne famously perfected is present in small doses here  just enough Calabrian bergamot to whet the tongue, and a ripe, tangy Sicilian tangerine that adds a wonderful fruity quality to an otherwise deep, warm cacao. In fact, the combination of rich cacao, classic espresso, and cardamom-flecked vanilla puts CafÃ© Tuberosa squarely in the gourmand category. And when Atelier Cologne does gourmand, they do it with subtlety and flair, and the proof is in the pudding. For despite its name, CafÃ© Tuberosa contains no high-powered tuberose, and the florals here are quite relaxed  it's the vanilla espresso combo that keeps us sniffing for more. Add the faintest hint of a cigarette, dangling from a coy smile, and you've got the most easy going kind of sexy scent, ready for whatever the day might bring."," Calabrian bergamot, Sicilian tangerine, Guatemalan cardamom, Indian tuberose, cacao absolute, rose absolute, Indonesian patchouli, Madagascar vanilla, musk",encounter cafa tuberosa like enter bustling coffeeshop dark bittersweet scent freshly roast coffee bean grind press perfect cup espresso mouthwatere citrus atelier cologne famously perfect present small doses enough calabrian bergamot whet tongue ripe tangy sicilian tangerine add wonderful fruity quality otherwise deep warm cacao fact combination rich cacao classic espresso cardamomflecke vanilla put cafa tuberosa squarely gourmand category atelier cologne gourmand subtlety flair proof pudding despite name cafa tuberosa contain no highpowered tuberose floral quite relaxed vanilla espresso combo keep us sniff add faint hint cigarette dangle coy smile get easy go kind sexy scent ready whatever day may bring
my own private teahupo'o eau de parfum,A Lab on Fire," Teahupo'o, on the Tahitian coast- a place of unmatched beauty and untamed nature, where waves that begin as droplets of water in Antarctica gather power over thousands of miles before crashing ashore with such majestic power that the village has become perhaps the holiest- and most dangerous- site in international surfing. To commemorate this uniquely Tahitian fusion of intensity and tranquility, Carlos Kusubayashi enlisted the S-Perfume team to create My Own Private Teahupo'o, an exhilarating, intense oceanic scent with a surprisingly soothing development. Opening with a blast of salty ozone that drops us immediately onto the side of one of Teahupo'o's iconic 20-foot vertical waves, the scent instantly thrums with sensual energy. As we finally get around to catching our breath on shore, the ocean-kissed wind brings us the sweet essence of tropical flowers, while a smooth, creamy vanilla calls to mind a traditional monoi. Finally, the glow of IFF's renowned Amber Xtreme in the drydown leaves us feeling the sun on our skin long after dusk. Inspired by the ""calm origins and thrilling ends"" of Tahiti's most infamous waves, My Own Private Teahupo'o is a summertime escape- no matter the season."," Sea salt, ozone, frangipani, salicylates, Tahitian vanilla bean, Amber Xtreme",teahupoo tahitian coast place unmatched beauty untamed nature wave begin droplet water antarctica gather power thousand miles crash ashore majestic power village become perhaps holiest dangerous site international surf commemorate uniquely tahitian fusion intensity tranquility carlos kusubayashi enlisted sperfume team create private teahupoo exhilarate intense oceanic scent surprisingly soothe development opening blast salty ozone drop us immediately onto side one teahupoo iconic 20foot vertical wave scent instantly thrum sensual energy finally get around catch breath shore oceankisse wind bring us sweet essence tropical flower smooth creamy vanilla call mind traditional monoi finally glow iff renowned amber xtreme drydown leave us feel sun skin long dusk inspire calm origin thrill ends tahitis infamous wave private teahupoo summertime escape no matter season
kai rose - eau de parfum eau de parfum spray,Kai," Kai is a true phenomenon unlike any other, known for the lush yet clean scent of gardenia, effortlessly captivating. This newly developed scent is Kai's fresh take on the classic rose, and as one would expect, blooms gorgeously on skin.Kai Rose is no old-fashioned tea rose, nor is it brooding - instead, imagine the platonic ideal of a fresh, romantic rose, vibrant and deep pink. Now wrap it in Kai's signature luscious, exotic white flowers, and what was at once familiar and lovely feels like a new encounter all over again. Precious rose absolute and all-natural essences embody the philosophy of kai: breath, life, flow. This soft, subtle fragrance can be worn on its own, or complemented by the original Kai for added effect."," Gardenia, white flowers, rose absolute",kai true phenomenon unlike know lush yet clean scent gardenia effortlessly captivate newly develop scent kais fresh take classic rise one would expect blooms gorgeously skin kai rise no oldfashione tea rise brood instead imagine platonic ideal fresh romantic rise vibrant deep pink wrap kais signature luscious exotic white flower familiar lovely feel like new encounter precious rise absolute allnatural essence embody philosophy kai breath life flow soft subtle fragrance wear complement original kai add effect
